Stamm	Man	Nig	GlcUA	Lam	GlcN	GalUA	Rib	Rha	Ism	Gen	Koj	GalN	GlcNAc	Mal	Lac	Cel	Sop	Glc	GalNAc	Gal	Ara	Xyl	Fuc	2-d-Glc	2-d-Rib	Summe	Summe ohne Xylose
Xyl1.A11	5.71	n	0.00	n	2.46	0.00	0.00	0.00	n	0.00	n	0.00	0.00	n	0.00	n	n	2.30	0.00	1.73	n	45.15	0.45	0.00	0.00	57.79	12.65
Xyl1.A12	3.75	n	0.00	n	6.20	0.00	0.00	1.64	n	0.00	n	1.63	0.00	n	0.00	n	n	2.80	0.00	1.25	n	95.85	0.00	0.00	0.00	113.12	17.27
Xyl1.B1	2.64	n	0.00	n	5.58	0.00	0.00	1.54	n	0.00	n	1.45	0.00	n	0.00	n	n	4.70	0.00	1.24	n	33.47	0.00	0.00	0.00	50.62	17.14
Xyl1.B2	2.41	n	0.00	n	0.00	0.00	0.00	0.00	n	0.00	n	0.00	0.00	n	0.00	n	n	1.31	0.00	1.58	n	36.30	0.00	0.00	0.00	41.60	5.30
Xyl1.B3	2.07	n	0.00	n	0.00	0.00	0.00	0.00	n	0.00	n	0.00	0.00	n	0.00	n	n	1.30	0.00	1.59	n	19.76	0.00	0.00	0.00	24.72	4.96
Xyl1.B4	0.00	n	0.00	n	0.00	0.00	0.00	0.00	n	0.00	n	0.00	0.00	n	0.00	n	n	17.63	0.00	7.22	n	25.84	0.00	0.00	0.00	50.69	24.85
Xyl1.B5	0.00	n	0.00	n	0.00	0.00	0.00	0.00	n	0.00	n	0.00	0.00	n	0.00	n	n	0.00	0.00	1.91	n	27.61	0.00	0.00	0.00	29.53	1.91
Xyl1.B6	2.53	n	0.00	n	2.26	0.00	0.00	1.89	n	0.46	n	0.00	0.00	n	0.00	n	n	1.09	0.00	1.68	n	34.02	0.00	0.00	0.00	43.93	9.91
Xyl1.B7	4.51	n	0.00	n	2.44	0.00	0.00	0.00	n	0.00	n	0.00	0.00	n	0.00	n	n	7.44	0.00	2.64	n	44.32	0.00	1.09	0.00	62.44	18.12
Xyl1.B8	3.53	n	0.00	n	2.38	0.00	0.00	1.72	n	0.00	n	0.00	0.00	n	0.00	n	n	6.06	0.00	3.00	n	45.68	0.00	1.11	0.00	63.47	17.79
Xyl1.B9	7.65	n	7.80	n	2.06	0.00	0.00	19.08	n	0.00	n	0.00	0.00	n	0.00	n	n	10.07	0.00	1.46	n	27.74	0.00	0.00	0.00	75.86	48.12
Xyl1.B10	2.13	n	0.00	n	2.56	0.00	1.46	0.00	n	0.00	n	0.00	0.00	n	0.00	n	n	4.49	0.00	1.20	n	34.92	0.50	0.00	0.00	47.26	12.34
Xyl1.B11	2.28	n	0.00	n	2.46	0.00	0.00	0.00	n	0.00	n	0.00	0.00	n	0.00	n	n	4.25	0.00	1.43	n	21.32	0.52	0.00	0.00	32.25	10.93
Xyl1.B12	2.11	n	0.00	n	0.00	0.00	0.00	6.19	n	0.00	n	0.00	0.00	n	0.00	n	n	14.46	0.00	19.87	n	26.22	0.00	0.00	0.00	68.84	42.62
